Data;Chamadas Oferecidas
01/01/2014;16079
02/01/2014;50703
03/01/2014;49757
04/01/2014;34378
05/01/2014;25171
06/01/2014;50631
07/01/2014;53071
08/01/2014;54442
09/01/2014;52113
10/01/2014;50552
11/01/2014;34075
12/01/2014;22394
13/01/2014;50710
14/01/2014;54068
15/01/2014;54247
16/01/2014;49829
17/01/2014;47697
18/01/2014;37423
19/01/2014;22966
20/01/2014;49308
21/01/2014;48583
22/01/2014;50258
23/01/2014;45793
24/01/2014;38777
25/01/2014;34090
26/01/2014;21179
27/01/2014;45716
28/01/2014;45000
29/01/2014;46518
30/01/2014;41706
31/01/2014;38753
01/02/2014;37157
02/02/2014;23333
03/02/2014;52167
04/02/2014;51148
05/02/2014;48784
06/02/2014;45690
07/02/2014;40441
08/02/2014;37192
09/02/2014;24511
10/02/2014;45441
11/02/2014;45527
12/02/2014;45846
13/02/2014;42111
14/02/2014;40442
15/02/2014;37280
16/02/2014;24343
17/02/2014;45174
18/02/2014;47237
19/02/2014;52513
20/02/2014;45049
21/02/2014;41948
22/02/2014;34004
23/02/2014;21391
24/02/2014;53518
25/02/2014;54270
26/02/2014;51029
27/02/2014;46470
28/02/2014;44457
01/03/2014;35718
02/03/2014;18465
03/03/2014;30741
04/03/2014;23323
05/03/2014;41563
06/03/2014;55437
07/03/2014;50779
08/03/2014;67717
09/03/2014;31071
10/03/2014;57327
11/03/2014;58182
12/03/2014;58861
13/03/2014;50921
14/03/2014;47840
15/03/2014;39742
16/03/2014;26079
17/03/2014;50963
18/03/2014;53827
19/03/2014;50805
20/03/2014;47045
21/03/2014;44056
22/03/2014;35423
23/03/2014;24900
24/03/2014;52196
25/03/2014;48077
26/03/2014;50773
27/03/2014;48461
28/03/2014;44780
29/03/2014;36839
30/03/2014;24718
31/03/2014;51526
01/04/2014;51686
02/04/2014;51907
03/04/2014;49192
04/04/2014;46209
05/04/2014;39480
06/04/2014;23815
07/04/2014;49243
08/04/2014;53201
09/04/2014;51810
10/04/2014;49134
11/04/2014;45832
12/04/2014;37365
13/04/2014;23444
14/04/2014;50098
15/04/2014;48049
16/04/2014;49268
17/04/2014;42495
18/04/2014;28767
19/04/2014;31506
20/04/2014;19168
21/04/2014;31050
22/04/2014;51803
23/04/2014;50275
24/04/2014;48680
25/04/2014;46272
26/04/2014;41715
27/04/2014;23640
28/04/2014;47812
29/04/2014;47770
30/04/2014;46487
01/05/2014;29952
02/05/2014;44249
03/05/2014;37038
04/05/2014;22187
05/05/2014;49983
06/05/2014;51823
07/05/2014;49915
08/05/2014;48453
09/05/2014;47279
10/05/2014;47220
11/05/2014;23267
12/05/2014;53914
