Ano;Mês;Seq. Dados;Ano-Mês;Chamadas Real
2000;1;1;2000-1;24102
2001;1;13;1/2001;8209
2002;1;25;2002-1;8761
2003;1;37;2003-1;9759
2004;1;49;2004-1;11798
2005;1;61;2005-1;13577
2006;1;73;2006-1;13608
2007;1;85;2007-1;14829
2008;1;97;2008-1;15385
2009;1;109;2009-1;16681
2010;1;121;2010-1;18633
2000;2;2;2000-2;7351
2001;2;14;2001-2;7738
2002;2;26;2002-2;8501
2003;2;38;2003-2;9876
2004;2;50;2004-2;11278
2005;2;62;2005-2;12451
2006;2;74;2006-2;12794
2007;2;86;2007-2;15297
2008;2;98;2008-2;15062
2009;2;110;2009-2;15886
2010;2;122;2010-2;17497
2000;3;3;2000-3;8317
2001;3;15;2001-3;8828
2002;3;27;2002-3;9642
2003;3;39;2003-3;10664
2004;3;51;2004-3;11945
2005;3;63;2005-3;13856
2006;3;75;2006-3;13889
2007;3;87;2007-3;16330
2008;3;99;2008-3;17896
2009;3;111;2009-3;18281
2010;3;123;2010-3;19470
2000;4;4;2000-4;8036
2001;4;16;2001-4;9150
2002;4;28;2002-4;9058
2003;4;40;2003-4;10110
2004;4;52;2004-4;11695
2005;4;64;2005-4;13812
2006;4;76;2006-4;14555
2007;4;88;2007-4;15807
2008;4;100;2008-4;16262
2009;4;112;2009-4;17478
2010;4;124;2010-4;18884
2000;5;5;2000-5;8424
2001;5;17;2001-5;8960
2002;5;29;2002-5;35102
2003;5;41;2003-5;11055
2004;5;53;2004-5;12734
2005;5;65;2005-5;14280
2006;5;77;2006-5;14545
2007;5;89;2007-5;16623
2008;5;101;2008-5;17820
2009;5;113;2009-5;18412
2010;5;125;2010-5;20308
2000;6;6;2000-6;8300
2001;6;18;2001-6;9282
2002;6;30;2002-6;9799
2003;6;42;2003-6;11615
2004;6;54;2004-6;13405
2005;6;66;2005-6;13692
2006;6;78;2006-6;15114
2007;6;90;2007-6;17196
2008;6;102;2008-6;17911
2009;6;114;2009-6;18849
2010;6;126;2010-6;20146
2000;7;7;2000-7;8985
2001;7;19;2001-7;9934
2002;7;31;2002-7;10828
2003;7;43;2003-7;11730
2004;7;55;2004-7;13836
2005;7;67;2005-7;15502
2006;7;79;2006-07;15886
2007;7;91;2007-7;17691
2008;7;103;2008-7;17818
2009;7;115;2009-7;19023
2010;7;127;2010-7;20258
2000;8;8;2000-8;8589
2001;8;20;2001-8;9546
2002;8;32;2002-8;11063
2003;8;44;2003-8;12587
2004;8;56;2004-8;14338
2005;8;68;2005-8;15423
2006;8;80;2006-8;15541
2007;8;92;2007-8;18012
2008;8;104;2008-8;18410
2009;8;116;2009-8;20372
2010;8;128;2010-8;21614
2000;9;9;2000-9;8564
2001;9;21;2001-9;9752
2002;9;33;2002-9;10652
2003;9;45;2003-9;12046
2004;9;57;2004-9;14069
2005;9;69;2005-9;14947
2006;9;81;2006-9;15770
2007;9;93;2007-9;17625
2008;9;105;2008-9;17658
2009;9;117;2009-9;19262
2010;9;129;2010-9;19717
2000;10;10;2000-10;8614
2001;10;22;2001-10;10272
2002;10;34;2002-10;11278
2003;10;46;2003-10;12852
2004;10;58;2004-10;15519
2005;10;70;2005-10;16031
2006;10;82;2006-10;16375
2007;10;94;2007-10;18244
2008;10;106;2008-10;18273
2009;10;118;2009-10;20570
2010;10;130;2010-10;22133
2000;11;11;2000-11;8102
2001;11;23;2001-11;9991
2002;11;35;2002-11;10661
2003;11;47;2003-11;12259
2004;11;59;2004-11;14680
2005;11;71;2005-11;14462
2006;11;83;2006-11;15386
2007;11;95;2007-11;17102
2008;11;107;2008-11;17992
2009;11;119;2009-11;19304
2010;11;131;2010-11;20503
2000;12;12;2000-12;8044
2001;12;24;2001-12;9537
2002;12;36;2002-12;10500
2003;12;48;2003-12;12214
2004;12;60;2004-12;33325
2005;12;72;2005-12;13791
2006;12;84;2006-12;14927
2007;12;96;2007-12;16744
2008;12;108;2008-12;16987
2009;12;120;2009-12;18407
2010;12;132;2010-12;18800
