data;chamadas
01/01/2017 07:00;12
2017/12/01 07:15;A
01/01/2017 07:30;16,3994
01/01/2017 07:45;17.4848
01/01/2017 08:00;9
01/01/2017 08:15;17
01/01/2017 08:30;16
01/01/2017 08:45;25
01/01/2017 09:00;34
01/01/2017 09:15;29
01/01/2017 09:30;28
01/01/2017 09:45;25
01/01/2017 10:00;36
01/01/2017 10:15;26
01/01/2017 10:30;40
01/01/2017 10:45;32
01/01/2017 11:00;43
01/01/2017 11:15;31
01/01/2017 11:30;40
01/01/2017 11:45;33
01/01/2017 12:00;28
01/01/2017 12:15;27
01/01/2017 12:30;31
01/01/2017 12:45;30
01/01/2017 13:00;26
01/01/2017 13:15;36
01/01/2017 13:30;24
01/01/2017 13:45;25
01/01/2017 14:00;28
01/01/2017 14:15;25
01/01/2017 14:30;45
01/01/2017 14:45;38
01/01/2017 15:00;37
01/01/2017 15:15;43
01/01/2017 15:30;44
01/01/2017 15:45;40
01/01/2017 16:00;53
01/01/2017 16:15;48
01/01/2017 16:30;41
01/01/2017 16:45;44
01/01/2017 17:00;39
01/01/2017 17:15;48
01/01/2017 17:30;62
01/01/2017 17:45;40
01/01/2017 18:00;37
01/01/2017 18:15;44
01/01/2017 18:30;47
01/01/2017 18:45;43
01/01/2017 19:00;39
01/01/2017 19:15;33
01/01/2017 19:30;52
01/01/2017 19:45;42
01/01/2017 20:00;47
01/01/2017 20:15;36
01/01/2017 20:30;40
01/01/2017 20:45;28
01/01/2017 21:00;32
01/01/2017 21:15;30
01/01/2017 21:30;36
01/01/2017 21:45;24
01/01/2017 22:00;20
01/01/2017 22:15;7
01/01/2017 22:30;0
01/01/2017 22:45;0
02/01/2017 07:00;8
02/01/2017 07:15;12
02/01/2017 07:30;19
02/01/2017 07:45;16
02/01/2017 08:00;15
02/01/2017 08:15;18
02/01/2017 08:30;22
02/01/2017 08:45;19
02/01/2017 09:00;23
02/01/2017 09:15;23
02/01/2017 09:30;27
02/01/2017 09:45;33
02/01/2017 10:00;32
02/01/2017 10:15;29
02/01/2017 10:30;33
02/01/2017 10:45;30
02/01/2017 11:00;32
02/01/2017 11:15;35
02/01/2017 11:30;40
02/01/2017 11:45;39
02/01/2017 12:00;37
02/01/2017 12:15;41
02/01/2017 12:30;35
02/01/2017 12:45;32
02/01/2017 13:00;39
02/01/2017 13:15;31
02/01/2017 13:30;34
02/01/2017 13:45;33
02/01/2017 14:00;32
02/01/2017 14:15;41
02/01/2017 14:30;38
02/01/2017 14:45;38
02/01/2017 15:00;52
02/01/2017 15:15;40
02/01/2017 15:30;45
02/01/2017 15:45;43
02/01/2017 16:00;45
02/01/2017 16:15;55
02/01/2017 16:30;42
02/01/2017 16:45;56
02/01/2017 17:00;40
02/01/2017 17:15;37
02/01/2017 17:30;43
02/01/2017 17:45;44
02/01/2017 18:00;45
02/01/2017 18:15;46
02/01/2017 18:30;32
